device_id,temperature,humidity,battery,measured_at
office-occupancy-sensor-001,23.7,26.272,100.0,2015-02-02T14:19:00
office-occupancy-sensor-001,23.718,26.29,100.0,2015-02-02T14:19:59
office-occupancy-sensor-001,23.73,26.23,100.0,2015-02-02T14:21:00
office-occupancy-sensor-001,23.722,26.125,100.0,2015-02-02T14:22:00
office-occupancy-sensor-001,23.754,26.2,100.0,2015-02-02T14:23:00
office-occupancy-sensor-001,23.76,26.26,100.0,2015-02-02T14:23:59
office-occupancy-sensor-001,23.73,26.29,100.0,2015-02-02T14:25:00
office-occupancy-sensor-001,23.754,26.29,100.0,2015-02-02T14:25:59
office-occupancy-sensor-001,23.754,26.35,100.0,2015-02-02T14:26:59
office-occupancy-sensor-001,23.736,26.39,100.0,2015-02-02T14:28:00
office-occupancy-sensor-001,23.745,26.445,100.0,2015-02-02T14:29:00
office-occupancy-sensor-001,23.7,26.56,100.0,2015-02-02T14:30:00
office-occupancy-sensor-001,23.7,26.6,100.0,2015-02-02T14:31:00
office-occupancy-sensor-001,23.7,26.7,100.0,2015-02-02T14:31:59
office-occupancy-sensor-001,23.7,26.774,100.0,2015-02-02T14:32:59
office-occupancy-sensor-001,23.7,26.89,100.0,2015-02-02T14:34:00
office-occupancy-sensor-001,23.7,26.972,100.0,2015-02-02T14:35:00
office-occupancy-sensor-001,23.6,26.89,100.0,2015-02-02T14:36:00
office-occupancy-sensor-001,23.64,26.976,100.0,2015-02-02T14:37:00
office-occupancy-sensor-001,23.65,27.05,100.0,2015-02-02T14:38:00
office-occupancy-sensor-001,23.64,27.1,100.0,2015-02-02T14:38:59
office-occupancy-sensor-001,23.6,27.16,100.0,2015-02-02T14:39:59
office-occupancy-sensor-001,23.6,27.236,100.0,2015-02-02T14:41:00
office-occupancy-sensor-001,23.6,27.29,100.0,2015-02-02T14:42:00
office-occupancy-sensor-001,23.6,27.33,100.0,2015-02-02T14:43:00
office-occupancy-sensor-001,23.6,27.34,100.0,2015-02-02T14:44:00
office-occupancy-sensor-001,23.625,27.392,100.0,2015-02-02T14:44:59
office-occupancy-sensor-001,23.6,27.39,100.0,2015-02-02T14:45:59
office-occupancy-sensor-001,23.6,27.412,100.0,2015-02-02T14:47:00
office-occupancy-sensor-001,23.6,27.5,100.0,2015-02-02T14:48:00
office-occupancy-sensor-001,23.6,27.525,100.0,2015-02-02T14:49:00
office-occupancy-sensor-001,23.6,27.6,100.0,2015-02-02T14:50:00
office-occupancy-sensor-001,23.6,27.6,100.0,2015-02-02T14:51:00
office-occupancy-sensor-001,23.6,27.54,100.0,2015-02-02T14:51:59
office-occupancy-sensor-001,23.6,27.6,100.0,2015-02-02T14:53:00
office-occupancy-sensor-001,23.617,27.633,100.0,2015-02-02T14:54:00
office-occupancy-sensor-001,23.667,27.7,100.0,2015-02-02T14:55:00
office-occupancy-sensor-001,23.6,27.7,100.0,2015-02-02T14:55:59
office-occupancy-sensor-001,23.6,27.722,100.0,2015-02-02T14:57:00
office-occupancy-sensor-001,23.6,27.79,100.0,2015-02-02T14:57:59
office-occupancy-sensor-001,23.6,27.857,100.0,2015-02-02T14:58:59
office-occupancy-sensor-001,23.6,27.804,100.0,2015-02-02T15:00:00
office-occupancy-sensor-001,23.575,27.79,100.0,2015-02-02T15:01:00
